Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0201_0603Metric",26.930000,5.455000,-90.000000,top
"C2","10uF","C_0805_2012Metric",45.600000,5.790000,-90.000000,top
"C3","100nF","C_0201_0603Metric",37.066000,32.330000,180.000000,top
"C4","100nF","C_0201_0603Metric",25.174000,7.222000,0.000000,top
"C5","100uF","C_0805_2012Metric",26.130000,13.170000,0.000000,top
"C6","1uF","C_0201_0603Metric",28.630000,22.150000,180.000000,top
"D1","LED","LED_0402_1005Metric",26.590000,9.960000,-90.000000,top
"D2","LED","LED_0402_1005Metric",26.780000,3.260000,90.000000,top
"D3","LED","LED_0402_1005Metric",35.650000,2.933750,-90.000000,top
"D4","LED","LED_0402_1005Metric",35.700000,9.805000,-90.000000,top
"D5","LED","LED_0402_1005Metric",46.501000,28.454000,180.000000,top
"D6","LED","LED_0402_1005Metric",38.590000,28.831000,-90.000000,top
"D7","CGRM4007-G","D_SOD-123",40.610000,4.520000,180.000000,top
"D8","CGRM4007-G","D_SOD-123",40.610000,8.400000,180.000000,top
"D9","CGRM4007-G","D_SOD-123",49.576000,30.274000,-90.000000,top
"D10","CGRM4007-G","D_SOD-123",53.130000,30.260000,-90.000000,top
"D11","CGRM4007-G","D_SOD-123",22.660000,11.910000,-90.000000,top
"D12","CGRM4007-G","D_SOD-123",15.014000,11.794000,-90.000000,top
"D13","CGRM4007-G","D_SOD-123",50.010000,35.010000,180.000000,top
"D14","CGRM4007-G","D_SOD-123",45.840000,22.980000,-90.000000,top
"D16","CGRM4007-G","D_SOD-123",6.586000,33.657000,180.000000,top
"D17","E-Throttle","LED_0402_1005Metric",18.270000,35.689000,180.000000,top
"Q2","DDTC124XCA-7-F","SOT-23",13.190000,35.435000,180.000000,top
"R2","100k","R_01005_0402Metric",30.755000,29.280000,0.000000,top
"R3","100k","R_01005_0402Metric",30.750000,28.000000,0.000000,top
"R4","100k","R_01005_0402Metric",36.350000,5.698000,-90.000000,top
"R5","100k","R_01005_0402Metric",36.350000,7.222000,90.000000,top
"R7","330","R_01005_0402Metric",27.925000,9.470000,180.000000,top
"R8","330","R_01005_0402Metric",28.200000,3.750000,180.000000,top
"R9","330","R_01005_0402Metric",34.340000,2.851250,0.000000,top
"R10","330","R_01005_0402Metric",34.330000,9.310000,0.000000,top
"R11","330","R_01005_0402Metric",45.956000,29.847000,180.000000,top
"R12","330","R_01005_0402Metric",37.574000,28.831000,-90.000000,top
"R13","10k","R_01005_0402Metric",27.920000,10.260000,180.000000,top
"R14","10k","R_01005_0402Metric",28.215000,2.930000,180.000000,top
"R15","11.3k","R_01005_0402Metric",24.362000,19.433000,180.000000,top
"R16","102k","R_01005_0402Metric",24.362000,17.909000,0.000000,top
"R17","10k","R_01005_0402Metric",20.900000,3.290000,0.000000,top
"R18","12k","R_01005_0402Metric",20.895000,2.440000,180.000000,top
"R19","10k","R_01005_0402Metric",43.800000,6.510000,90.000000,top
"R20","102k","R_01005_0402Metric",30.110000,16.882500,0.000000,top
"R21","11.3k","R_01005_0402Metric",30.125000,15.862500,180.000000,top
"R22","10k","R_01005_0402Metric",22.500000,3.270000,180.000000,top
"R23","1k","R_01005_0402Metric",16.792000,12.306000,-90.000000,top
"R24","39k","R_01005_0402Metric",12.920000,6.718000,90.000000,top
"R25","68k","R_01005_0402Metric",14.080000,6.698000,-90.000000,top
"R27","1k","R_01005_0402Metric",16.238000,35.689000,0.000000,top
